ID,Text,Colour,Position,Date,Pass_Ct,Rej_Ct
2769,我是李光伟 我在清华 求女票,red,Top,"12/29/2016, 7:08:54 PM",6,0
4906,表白1910周济天，俞浩林T那个表白小金木的是谁,white,Bottom,"12/29/2016, 7:28:55 PM",9,0
5028,180913孙孟越叔叔我爱你😘,red,Top,"12/29/2016, 7:39:17 PM",9,0
4069,zzy,white,Top,"12/29/2016, 7:20:35 PM",7,0
4487,勋兴大法好,white,Top,"12/29/2016, 7:23:33 PM",7,0
7697,猪猪猪猪猪懿懿懿懿懿行行行行行,white,Top,"12/29/2016, 7:59:24 PM",7,2
7735,表白魏振振振振振振振振振振振振振振振振振振振振振振振振振振振振振振振振振,white,Bottom,"12/29/2016, 7:59:41 PM",8,1
3557,kth！承包小6美颜！,white,Top,"12/29/2016, 7:17:26 PM",7,0
7249,加三老师都生病了，今天上数学,red,Top,"12/29/2016, 7:56:21 PM",9,0
9966,东三！,white,Top,"12/29/2016, 8:20:50 PM",7,0
8665,囍,white,Bottom,"12/29/2016, 8:07:27 PM",8,1
6614,混进去一只陈俊铭233,white,Top,"12/29/2016, 7:51:43 PM",8,0
2910,我是粉丝,green,Bottom,"12/29/2016, 7:11:56 PM",5,0
11055,我黄逸洲只要董羽佳,white,Bottom,"12/29/2016, 8:45:26 PM",4,1
5799,表白肖璐世界第一可爱,white,Bottom,"12/29/2016, 7:45:29 PM",8,0
7873,田帅,red,Top,"12/29/2016, 8:00:41 PM",9,0
6112,祝sq，lulu，赵伟，明明，彬彬 Happy New Year,white,Top,"12/29/2016, 7:47:14 PM",8,1
4167,可以领瓜子了,blue,Bottom,"12/29/2016, 7:21:24 PM",8,0
9860,东哥准备砸场,red,Top,"12/29/2016, 8:19:53 PM",8,0
7721,zjy为什么喜欢虞潇？我骏马难道不够优秀？,green,Top,"12/29/2016, 7:59:32 PM",7,2
3373,你们都当我是空气吗,white,Top,"12/29/2016, 7:16:28 PM",7,0
4030,刚刚那个说腹黑是你男神的出来干一架,green,Bottom,"12/29/2016, 7:20:24 PM",8,0
8977,喜欢刘轶洲学长😍😍,white,Top,"12/29/2016, 8:11:59 PM",8,0
6379,老钱我也喜欢你啊,red,Top,"12/29/2016, 7:49:11 PM",9,0
6099,1906朱海阳求交往。男寝627找我。,red,Bottom,"12/29/2016, 7:47:12 PM",7,2
8049,政治大哥快出来！,white,Bottom,"12/29/2016, 8:01:54 PM",9,0
9745,表白阿信 怪兽 石头 玛莎 冠佑,white,Top,"12/29/2016, 8:18:54 PM",6,2
34,亦可赛艇,white,Top,"12/29/2016, 6:05:05 PM",2,0
